datetime,portfolio_value,cash,positions,old_best_asset,old_asset_quantity,old_cash,new_best_asset,new_asset_quantity,AGG_price,AGG_return,VEU_price,VEU_return,SPY_price,SPY_return,return
2023-01-03 08:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",,,,,,,,,,,,
2023-01-03 09:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",,,,,,,,,,,,0.0
2023-01-03 15:59:00-05:00,100000.0,-320.5687255859375,"[{'asset': USD, 'quantity': -320.5687255859375}, {'asset': SPY, 'quantity': 261.0}]",,0.0,,SPY,261.0,96.98999786376953,-0.001029956513471153,50.13999938964844,0.005011024314661938,382.42999267578125,0.015318825884279352,0.0
2023-01-03 15:59:00-05:00,100000.0,-320.5687255859375,"[{'asset': USD, 'quantity': -320.5687255859375}, {'asset': SPY, 'quantity': 261.0}]",SPY,261.0,,SPY,261.0,96.98999786376953,-0.001029956513471153,50.13999938964844,0.005011024314661938,382.42999267578125,0.015318825884279352,0.0
2023-01-03 16:00:00-05:00,100000.0,-320.5687255859375,"[{'asset': USD, 'quantity': -320.5687255859375}, {'asset': SPY, 'quantity': 261.0}]",SPY,261.0,,SPY,261.0,96.98999786376953,-0.001029956513471153,50.13999938964844,0.005011024314661938,382.42999267578125,0.015318825884279352,0.0
2023-01-04 08:30:00-05:00,99689.40936279297,-320.5687255859375,"[{'asset': USD, 'quantity': -320.5687255859375}, {'asset': SPY, 'quantity': 261.0}]",SPY,261.0,,SPY,261.0,96.98999786376953,-0.001029956513471153,50.13999938964844,0.005011024314661938,382.42999267578125,0.015318825884279352,-0.0031059063720703106
2023-01-04 09:30:00-05:00,99689.40936279297,-320.5687255859375,"[{'asset': USD, 'quantity': -320.5687255859375}, {'asset': SPY, 'quantity': 261.0}]",SPY,261.0,,SPY,261.0,96.98999786376953,-0.001029956513471153,50.13999938964844,0.005011024314661938,382.42999267578125,0.015318825884279352,0.0
2023-01-04 15:59:00-05:00,99689.40936279297,-320.5687255859375,"[{'asset': USD, 'quantity': -320.5687255859375}, {'asset': SPY, 'quantity': 261.0}]",SPY,261.0,,SPY,261.0,,,,,,,0.0
2023-01-04 15:59:00-05:00,99689.40936279297,-320.5687255859375,"[{'asset': USD, 'quantity': -320.5687255859375}, {'asset': SPY, 'quantity': 261.0}]",SPY,261.0,,SPY,261.0,,,,,,,0.0
2023-01-04 16:00:00-05:00,99689.40936279297,-320.5687255859375,"[{'asset': USD, 'quantity': -320.5687255859375}, {'asset': SPY, 'quantity': 261.0}]",SPY,261.0,,SPY,261.0,,,,,,,0.0
