datetime,portfolio_value,cash,positions,return
2023-02-11 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",
2023-02-12 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-02-13 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-02-14 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-02-15 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-02-16 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-02-17 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-02-18 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-02-19 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-02-20 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-02-21 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-02-22 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-02-23 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-02-24 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-02-25 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-02-26 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-02-27 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-02-28 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-03-01 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-03-02 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-03-03 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-03-04 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-03-05 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-03-06 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-03-07 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-03-08 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-03-09 00:00:00-05:00,100000.0,100000.0,"[{'asset': USDT, 'quantity': 100000.0}]",0.0
2023-03-10 00:00:00-05:00,98171.14,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",-0.018288599999999988
2023-03-11 00:00:00-05:00,98926.28,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.007692077325372804
2023-03-12 00:00:00-05:00,100768.06,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.018617701989804836
2023-03-13 01:00:00-04:00,102383.4,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.01603027784796085
2023-03-14 01:00:00-04:00,102818.6,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.004250689076549685
2023-03-15 01:00:00-04:00,101939.19,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",-0.008553024452774172
2023-03-16 01:00:00-04:00,102369.12,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.004217514382839349
2023-03-17 01:00:00-04:00,104308.48,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.01894477553387186
2023-03-18 01:00:00-04:00,103758.87,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",-0.005269082628756583
2023-03-19 01:00:00-04:00,104178.77,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.004046882931550977
2023-03-20 01:00:00-04:00,103372.8,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",-0.007736413090690175
2023-03-21 01:00:00-04:00,104554.13,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.011427861100792525
2023-03-22 01:00:00-04:00,103394.73,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",-0.011088992849923818
2023-03-23 01:00:00-04:00,104810.15,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.013689479144633365
2023-03-24 01:00:00-04:00,103645.99,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",-0.011107321189789188
2023-03-25 01:00:00-04:00,103525.63,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",-0.0011612605562453249
2023-03-26 01:00:00-04:00,104077.11,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.005326990041016888
2023-03-27 01:00:00-04:00,103078.7,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",-0.009592983510014919
2023-03-28 01:00:00-04:00,104087.31,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.009784853708865171
2023-03-29 01:00:00-04:00,104398.07,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.00298557047924497
2023-03-30 01:00:00-04:00,104410.65,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.00012050031193089339
2023-03-31 01:00:00-04:00,104890.73,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.004597998384264557
2023-04-01 01:00:00-04:00,104883.93,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",-6.482937052687543e-05
2023-04-02 01:00:00-04:00,104423.06,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",-0.00439409545389835
2023-04-03 01:00:00-04:00,104696.93,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.0026226965576376937
2023-04-04 01:00:00-04:00,105717.78,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.009750524681096273
2023-04-05 01:00:00-04:00,106395.23,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.0064080989971602165
2023-04-06 01:00:00-04:00,105714.55,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",-0.0063976552332279946
2023-04-07 01:00:00-04:00,105618.84,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",-0.0009053626014584593
2023-04-08 01:00:00-04:00,105351.43,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",-0.0025318399634004507
2023-04-09 01:00:00-04:00,105515.82,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.001560396474922232
2023-04-10 01:00:00-04:00,106402.37,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.008402057625102932
2023-04-11 01:00:00-04:00,106065.6,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",-0.0031650610789965006
2023-04-12 01:00:00-04:00,106522.9,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.0043114827050427795
2023-04-13 01:00:00-04:00,108121.92,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.01501104457351432
2023-04-14 01:00:00-04:00,109625.73999999999,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.013908558042624364
2023-04-15 01:00:00-04:00,109459.98999999999,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",-0.0015119624278020494
2023-04-16 01:00:00-04:00,109850.14,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.0035643160574014843
2023-04-17 01:00:00-04:00,109190.03,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",-0.0060091866974407715
2023-04-18 01:00:00-04:00,109686.76999999999,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.004549316453159591
2023-04-19 01:00:00-04:00,106828.39,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",-0.02605947827618582
2023-04-20 01:00:00-04:00,106961.16,73922.0,"[{'asset': USDT, 'quantity': 73922.0}, {'asset': ETH, 'quantity': 17.0}]",0.0012428344188282203
