date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-04-06,95,0,0,60,27,94,100,0,0,12,20,77,0,0,0,0,71,0,39,73,0,0,10,0,0,47,89,100,68
2021-04-07,-95,0,0,-60,51,92,3,0,61,76,3,-77,0,0,0,0,-65,100,12,-73,0,53,62,0,100,0,-68,100,100
2021-04-08,75,0,25,0,100,-68,38,0,-61,-88,91,7,100,85,0,0,53,58,-34,0,100,100,53,52,-57,-36,-18,7,-59
2021-04-09,-75,0,-3,0,-67,100,-100,46,92,100,100,100,-83,-85,6,0,-59,-42,-17,0,0,-38,-73,57,-43,-11,-3,3,-100
2021-04-12,0,100,29,27,-42,5,-41,-46,1,56,-44,-100,-17,0,-6,0,47,0,0,100,41,28,41,17,0,23,0,40,-9
2021-04-13,0,100,-51,-27,-69,-9,0,0,13,100,100,-7,0,0,0,0,-47,3,0,100,-75,-100,76,100,10,-23,0,-44,0
2021-04-14,57,76,0,39,100,-90,100,100,-41,-100,-35,16,100,0,0,0,16,-32,52,-62,-17,-43,-100,-32,100,50,0,100,0
2021-04-15,100,-100,11,-26,-71,52,12,-100,-65,48,-29,-16,-71,16,0,0,-16,-16,-47,-84,-49,0,-69,-43,41,28,0,-8,0
2021-04-16,-29,-93,66,49,-29,-17,-70,0,0,100,-100,12,-29,-16,0,0,43,-71,-5,-54,0,0,0,-34,-86,-32,100,-100,0
2021-04-19,-100,-19,100,-62,0,-100,-25,0,77,-12,14,29,0,0,91,0,53,0,57,0,0,4,0,4,26,12,73,-51,100
2021-04-20,3,-2,-41,62,22,-59,-17,52,-77,5,42,44,0,0,-33,0,-25,0,-57,16,100,-4,100,-100,-91,96,36,-8,74
2021-04-21,45,-21,-100,-10,5,0,0,-52,0,-100,0,-50,0,100,54,0,-71,0,0,100,-42,0,-48,-21,0,-100,-46,29,-100
2021-04-22,-31,-41,100,89,36,0,0,0,100,-1,43,-9,0,100,100,81,0,0,0,-25,21,7,100,21,0,74,56,-36,2
2021-04-23,100,0,75,81,100,0,100,24,100,35,-100,100,0,-91,85,100,16,100,68,69,100,29,-45,-21,69,-44,15,100,-76
2021-04-26,-100,62,100,60,65,0,-47,17,58,30,-47,75,0,-58,-75,4,100,-20,100,40,27,100,-100,0,13,34,19,100,15
2021-04-27,-45,13,-14,-100,-49,1,-53,27,-100,3,-58,-100,52,39,15,100,96,-80,32,53,-55,-77,-7,13,100,-89,-22,-100,16
2021-04-28,0,100,59,-100,50,10,73,-68,100,47,50,100,-52,66,-21,-100,-28,93,-65,11,100,13,100,61,-100,-29,100,-100,55
2021-04-29,52,12,100,-44,-64,-11,-45,0,-100,30,100,-65,100,100,42,-19,23,-93,5,-74,-100,-72,-53,-74,-58,0,99,-100,-28
2021-04-30,100,-100,-61,-38,-100,0,87,62,-29,77,92,-26,50,-70,-88,-100,73,100,-48,-100,99,0,-12,0,35,100,-59,100,-58
2021-05-03,-100,-28,-84,0,-65,23,-13,100,28,-100,37,72,100,-100,-32,100,-28,26,-55,-68,75,0,-35,3,94,38,-70,-25,0
2021-05-04,100,-15,100,100,18,-3,-100,-89,-49,-22,-76,26,-80,-20,100,-19,-27,-100,-37,50,-55,34,0,2,100,14,91,-100,100
2021-05-05,-56,18,-100,-96,100,-20,-2,-53,-100,100,-100,42,-33,-15,-19,71,65,-26,100,99,-41,-20,0,-5,-100,-100,-100,100,39
2021-05-06,-45,35,-51,-4,63,0,71,-20,-8,99,100,4,-100,-51,-59,-43,11,0,-58,-100,25,-14,86,25,-95,-52,100,-7,-100
2021-05-07,-51,21,100,83,-20,0,93,96,77,-81,52,26,4,0,-100,-71,5,0,100,-71,12,81,66,-20,-3,100,-22,65,86
2021-05-10,0,100,71,-83,-100,0,25,-96,100,28,-15,18,-21,0,100,45,33,0,68,25,-100,100,-100,17,-55,-55,70,-100,-22
2021-05-11,0,100,47,0,-23,34,100,0,-23,-47,-42,100,-20,0,-96,-81,-13,100,78,-11,0,82,31,-22,64,-45,-100,100,-100
2021-05-12,0,60,-82,91,47,-34,55,0,47,-40,92,-48,0,0,-28,48,-87,-32,89,-14,-100,-69,-73,6,44,100,11,-89,-3
2021-05-13,18,-60,-1,50,-41,0,-95,57,63,97,-100,-100,100,0,100,-97,-43,-68,75,18,100,-100,100,90,81,-49,-41,-76,100
2021-05-14,-18,-100,-14,-41,36,100,-100,-54,-39,100,99,94,-17,100,-38,59,-57,100,74,8,-100,89,33,-96,27,100,6,0,16
2021-05-17,0,15,-72,-100,77,-20,-28,36,13,100,9,-100,50,-13,-45,-44,100,-59,100,57,-66,22,-5,0,46,100,-9,45,-70
2021-05-18,0,100,38,59,100,5,84,-39,-100,-100,100,90,76,-64,22,-9,48,22,90,1,71,-73,15,0,-34,-32,-100,-45,10
2021-05-19,0,45,16,-59,-21,-45,-100,67,-2,-43,-67,-52,-100,-23,100,37,-64,-63,77,-84,75,-64,-26,39,-100,75,100,47,-56
2021-05-20,100,-100,-12,0,-82,-40,59,-67,-49,100,-54,66,27,0,52,-62,36,0,100,0,-59,-6,95,-39,-100,55,81,-47,0
2021-05-21,-14,100,-15,100,-100,37,57,0,-87,38,-23,-100,-100,31,-100,0,24,0,100,100,-57,-26,67,0,100,-100,-100,0,73
2021-05-24,100,100,7,-83,-54,20,-26,0,0,-4,100,69,-36,6,100,0,-31,0,-42,-54,-30,79,16,4,-69,100,-90,100,-37
2021-05-25,10,0,-100,100,0,-57,-100,100,0,61,95,0,0,-37,-20,0,1,53,-100,0,100,-100,-100,0,-14,68,63,-100,90
2021-05-26,100,-15,0,0,0,0,0,-75,0,0,-97,0,0,0,-4,0,-16,0,-19,0,0,-15,-17,0,100,0,-100,52,-65
2021-05-27,1,0,-100,-35,72,0,-33,0,74,88,100,-100,0,0,-100,0,-22,0,-51,100,-100,100,0,-4,-40,45,-40,-52,-56
2021-05-28,-100,-44,33,-24,-7,0,-32,100,53,28,-45,-98,0,0,-15,0,38,-53,59,39,0,1,-41,100,0,82,100,0,-5
2021-06-01,-34,35,-14,0,-49,0,-14,0,-76,-60,-15,-88,0,0,-88,0,1,100,-98,0,90,97,77,100,100,-100,-11,0,0
2021-06-02,100,-27,-95,18,0,100,0,-84,-51,74,-67,100,0,100,78,0,-34,-10,-45,-10,-90,-23,-41,-100,0,0,62,99,0
2021-06-03,-55,97,-67,43,-16,-11,-16,-41,0,-52,67,-27,100,-100,43,0,9,98,-100,-100,0,51,-40,-84,-89,-11,-100,-93,0
2021-06-04,100,0,0,100,0,88,0,0,0,-80,80,-31,0,1,-64,0,-90,0,0,0,0,-100,100,100,45,-86,-87,100,0
2021-06-07,0,100,0,100,0,0,4,0,0,-100,-21,0,-7,0,100,100,-100,-31,-84,0,0,-64,-91,-100,0,83,100,-91,100
2021-06-08,-72,0,0,0,0,0,0,0,100,-100,0,44,0,0,0,0,100,100,0,0,0,-41,0,-16,0,0,0,0,-42
2021-06-09,-100,79,0,0,0,-63,0,0,0,0,0,0,0,0,100,-100,100,0,-100,-75,0,1,0,100,100,-100,-66,0,-58
2021-06-10,0,-61,0,-100,0,-1,100,0,0,-10,-84,-27,100,95,100,0,-13,-2,41,0,0,-22,100,0,100,-100,1,-15,100
