account_rewards,date
15855.62996997824,2022-01-03
-11084.69863800425,2022-01-04
-4655.5592869186075,2022-01-05
594.5005235671997,2022-01-06
-1342.165599822998,2022-01-07
2992.1914156646235,2022-01-10
-10574.655536651611,2022-01-11
-1398.6523361206055,2022-01-12
-14105.21180343628,2022-01-13
-30391.88415145874,2022-01-14
-13606.940153995529,2022-01-18
-4947.430966308573,2022-01-19
-12933.499666103278,2022-01-20
-774.2026252746582,2022-01-21
4031.2010803222656,2022-01-24
-3131.342929840088,2022-01-25
-2531.7482719421387,2022-01-26
12637.600471496582,2022-01-27
-955.293456192012,2022-01-28
1001.744290924049,2022-01-31
5191.425115966937,2022-02-01
-14722.803160812473,2022-02-02
-2658.1157783049857,2022-02-03
-1021.6979744643904,2022-02-04
11737.61185895151,2022-02-07
6865.277072639437,2022-02-08
-12903.599813735927,2022-02-09
-11876.640666996012,2022-02-10
-4394.928188323975,2022-02-11
10000.653654129012,2022-02-14
-558.5630149841309,2022-02-15
-17022.863847282366,2022-02-16
-5585.583656311035,2022-02-17
-15626.565990447998,2022-02-18
-11888.056986530311,2022-02-22
-2179.0983796158107,2022-02-23
23137.198506279034,2022-02-24
-4496.1763916015625,2022-02-25
-10787.938751354231,2022-02-28
19460.93616401672,2022-03-01
-47.62535095214844,2022-03-02
349.7941944275517,2022-03-03
-17127.407890319824,2022-03-04
-6353.892055511475,2022-03-07
14655.402160644531,2022-03-08
-698.8005981445312,2022-03-09
-4730.895389556885,2022-03-10
-296.62289810180664,2022-03-11
19166.3912270813,2022-03-14
9306.36652900686,2022-03-15
12553.844024788006,2022-03-16
4182.5005799293285,2022-03-17
-1777.950124221854,2022-03-18
4303.534481048584,2022-03-21
-7257.048152923584,2022-03-22
10869.909832000732,2022-03-23
3060.864143371582,2022-03-24
1376.9431114196777,2022-03-25
6830.087047576904,2022-03-28
1932.8024711608887,2022-03-29
-16283.043380737305,2022-03-30
1778.4369354248047,2022-03-31
