date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-10-04,0,100,0,-100,100,0,100,-64,100,-60,-56,-1,-100,-76,0,0,0,0,39,100,-68,100,0,100,0,0,0,0,1
2021-10-05,100,-3,0,-84,100,0,-86,0,-47,0,100,0,-98,-100,0,0,100,0,43,100,-21,-82,0,-100,0,0,2,0,0
2021-10-06,-100,-88,0,0,1,63,-92,0,0,100,-61,0,100,0,0,100,-100,0,0,-100,-58,-13,0,0,0,0,1,100,-1
2021-10-07,0,-21,0,0,-63,0,0,-93,-53,0,100,0,-100,100,0,-15,0,0,51,77,-100,0,0,100,22,1,47,52,0
2021-10-08,100,-53,0,0,-100,0,100,100,100,0,0,0,100,-100,0,0,0,0,-42,-57,0,0,0,-87,-22,7,100,3,0
2021-10-11,-100,-100,100,0,73,48,100,64,-74,-47,15,-43,31,-84,0,-85,0,0,-100,-100,-100,-9,0,-13,0,-8,68,100,0
2021-10-12,0,29,75,51,-25,59,-69,-9,-4,-24,-67,0,26,-16,0,0,100,0,-100,-18,25,100,0,0,0,16,-14,-100,89
2021-10-13,0,96,0,-51,100,25,100,0,-22,88,-53,100,-100,2,0,0,-100,0,-10,0,0,0,0,0,0,-16,0,100,-59
2021-10-14,0,-4,-100,0,45,-100,44,8,0,28,-100,-61,41,-3,0,0,0,100,4,-2,-100,-100,0,83,82,100,-40,7,-30
2021-10-15,0,14,-75,0,-100,-95,63,27,0,49,-53,-39,34,61,0,27,88,10,85,0,-8,7,10,76,23,97,56,3,0
2021-10-18,0,-39,0,0,0,58,-1,0,0,0,0,100,-100,0,0,-20,-88,0,-15,0,0,0,-5,0,0,0,-100,0,0
2021-10-19,0,100,100,0,0,0,-100,-46,0,-31,-100,-47,100,0,0,0,100,28,0,0,0,100,100,-9,0,-64,-88,-79,0
2021-10-20,0,0,66,0,-55,0,-75,-14,0,0,-7,100,1,-85,100,0,100,-90,-74,0,100,0,100,-1,-100,0,-32,0,0
2021-10-21,0,0,-100,0,0,0,-38,0,0,-70,0,0,0,2,0,-7,-4,0,0,0,0,0,0,0,99,0,100,0,0
2021-10-22,0,-100,-66,49,-76,-58,-100,-100,0,-16,33,12,-81,-2,-37,0,-100,70,0,100,-11,10,-11,72,-9,100,32,28,100
2021-10-25,0,100,0,-15,86,0,-33,-47,95,-95,-33,0,0,0,12,100,56,-95,51,100,-15,-20,100,-7,50,-50,100,-12,-100
2021-10-26,0,-14,0,100,0,0,100,0,-95,-8,100,100,-100,0,0,-8,-100,-23,0,76,-72,100,100,-100,-39,-100,-5,0,100
2021-10-27,100,70,0,-100,-86,57,59,0,0,-69,-68,-63,100,100,50,-73,-52,46,-46,100,-2,-20,-100,19,-81,88,100,7,-95
2021-10-28,-30,21,0,93,100,-2,-74,0,0,-57,-32,100,-58,100,4,-2,19,-41,23,69,100,-9,23,70,-25,18,-40,38,-5
2021-10-29,-70,-68,0,0,-100,0,1,3,62,-2,85,-53,-15,-48,-100,0,100,62,-28,70,0,100,-38,-69,38,0,-34,0,0
2021-11-01,65,-65,0,100,0,-55,30,-3,-62,-59,-85,-100,-74,-100,-26,89,-41,-67,0,100,32,100,20,100,-38,-100,-100,-96,100
2021-11-02,-65,-4,52,-36,0,0,-70,0,92,-100,100,-91,28,-46,84,100,-78,100,74,-32,-21,32,16,50,0,-17,-11,21,75
2021-11-03,0,-63,-31,-100,100,100,100,0,100,30,-100,-58,-58,-1,-87,-34,0,100,24,44,-8,-100,-1,39,0,91,-100,32,-10
2021-11-04,0,0,-21,100,-59,-78,-100,0,-9,68,0,100,84,1,0,-12,71,85,0,-100,-100,-6,0,48,0,100,-31,-52,100
2021-11-05,0,-9,0,58,0,-22,-100,0,0,-23,0,-10,-40,100,0,100,-33,-79,100,-87,0,0,-61,0,0,100,1,-33,-49
2021-11-08,0,0,0,98,-41,100,-26,0,0,-100,0,0,0,100,6,-100,100,100,0,-46,0,-68,100,-93,0,0,-12,-100,-100
2021-11-09,43,11,0,-100,0,-32,29,96,-21,52,0,28,-73,-100,-6,-100,-100,18,-7,10,62,-47,-64,-100,0,-58,0,-19,85
2021-11-10,-6,0,100,100,0,-68,0,-96,0,27,0,0,100,-51,100,-6,0,0,-2,-54,-60,0,100,100,0,-49,100,0,6
2021-11-11,-1,-6,-21,0,0,0,100,0,47,79,0,0,1,95,-100,-54,93,-47,-90,0,-5,-60,0,-35,0,100,-100,0,-6
2021-11-12,-36,-36,0,-27,0,0,-99,0,0,-55,0,100,1,100,0,100,-100,79,0,-63,0,100,-23,-50,0,-100,100,0,100
2021-11-15,0,-83,-56,-18,28,0,-100,100,-8,4,0,100,1,-45,0,-100,-31,-30,-99,-35,53,-5,88,100,0,-16,100,0,-100
2021-11-16,0,4,0,-67,-11,0,2,100,0,100,0,-6,-100,-7,100,0,0,-74,0,100,-53,0,0,100,0,-94,0,0,-46
2021-11-17,0,0,-23,-40,-17,82,-45,-58,-19,0,0,-100,-100,-26,-50,0,0,-100,100,100,0,100,100,100,0,0,-3,3,0
2021-11-18,100,-58,100,-9,0,-71,100,-30,0,-100,100,-11,1,-71,100,0,100,-100,-8,0,0,0,-51,100,0,3,-100,-3,100
2021-11-19,-52,0,-70,100,74,-11,0,0,-9,0,-53,0,-56,3,100,0,0,-19,-92,-73,100,0,0,-65,0,-34,100,0,0
2021-11-22,74,87,17,65,-74,68,-45,-54,-53,88,-47,48,-87,-49,34,33,79,-33,39,67,-100,-100,-100,-100,0,100,-8,0,-100
2021-11-23,6,0,0,-26,0,-68,-100,-58,-56,84,0,0,0,100,-100,76,1,0,100,-8,0,-15,100,-84,0,0,0,100,-100
2021-11-24,-100,-3,-20,0,0,0,-72,0,100,-100,0,64,-82,-99,0,-29,1,0,0,-65,71,6,-9,100,63,-15,-28,-100,-55
2021-11-26,0,-100,0,15,0,0,-100,1,97,-56,0,100,100,-18,-100,74,-100,0,-37,-88,0,-57,-85,0,100,-22,-100,100,0
2021-11-29,-8,0,-27,0,0,0,-4,-1,-100,0,100,-16,100,-7,0,0,-81,0,100,0,0,0,45,-48,-54,-59,-61,0,100
2021-11-30,100,-69,0,-100,0,0,-69,0,1,-16,100,0,100,100,-42,98,0,6,100,100,0,0,100,-82,-100,-100,88,0,-12
2021-12-01,98,0,0,-83,0,0,-62,0,-100,-100,100,-17,10,-27,-12,49,0,67,-100,0,-71,28,100,-100,-9,100,28,100,-88
2021-12-02,-85,0,0,0,0,0,100,0,0,45,100,-83,-85,-100,100,100,0,-73,0,0,0,-71,100,2,0,-78,1,-100,0
2021-12-03,-59,0,100,-46,0,0,100,0,0,98,0,-56,0,0,0,-50,100,0,0,-31,0,-32,-77,0,0,-10,-84,5,0
2021-12-06,0,0,100,0,0,0,0,0,0,0,0,-100,0,100,0,-75,0,0,-15,-10,0,0,0,0,0,77,1,-59,0
2021-12-07,100,0,-54,-98,0,0,-100,0,-58,93,0,-9,-20,-49,100,-11,-93,0,-100,-100,0,-73,-41,100,0,76,-34,-46,0
2021-12-08,-4,0,0,-13,0,0,1,0,100,-12,-74,-100,100,-55,65,-100,73,73,-44,0,0,23,-30,-100,100,-99,61,100,100
2021-12-09,-95,0,-100,100,0,0,100,0,-17,100,-100,100,100,100,-68,81,-26,-47,13,-89,0,26,-100,-56,-44,9,-61,8,100
2021-12-10,-75,92,-3,37,50,52,100,0,-74,20,-100,-13,100,27,38,-9,100,100,71,100,18,-49,-71,-83,-56,-94,59,-26,-14
2021-12-13,32,100,0,0,-50,-33,-36,23,-13,68,-78,-64,-9,45,-100,-20,69,97,-11,0,-18,0,100,-77,100,0,-59,-42,0
2021-12-14,53,30,100,100,0,-19,100,0,0,71,-48,-55,0,-54,-100,-27,68,0,1,-25,0,0,0,0,-100,100,0,-40,-8
2021-12-15,-50,-27,100,-100,0,100,0,0,0,-16,0,0,2,100,100,0,-5,-100,0,-40,0,0,-40,0,34,-25,0,0,2
