account_value,date,daily_return
1000000.0,2021-04-06,
1000092.1651073454,2021-04-07,9.216510734533223e-05
1000172.8731563566,2021-04-08,8.07006112306663e-05
1003062.8231422422,2021-04-09,0.002889450477461253
1002678.3454322811,2021-04-12,-0.00038330371846162503
997736.445163345,2021-04-13,-0.0049286995091188945
1002041.5303698727,2021-04-14,0.004314852110892886
1009364.4626159664,2021-04-15,0.007308012716190193
1015207.9737306058,2021-04-16,0.0057892974550488585
1013933.4658919522,2021-04-19,-0.0012554155125182875
1005015.4080322606,2021-04-20,-0.008795505977156393
1017408.3255960576,2021-04-21,0.012331072205212568
1006062.5917824894,2021-04-22,-0.011151603076297922
1016980.9766663396,2021-04-23,0.01085259006053052
1015481.4382904851,2021-04-26,-0.0014744999269995507
1012502.9286087834,2021-04-27,-0.0029331010586621797
1000838.3073471867,2021-04-28,-0.011520580268962077
1003669.0179375493,2021-04-29,0.002828339572518601
1002301.9893269002,2021-04-30,-0.0013620312934020662
1012261.2069064443,2021-05-03,0.009936344221198379
1017337.8117668111,2021-05-04,0.005015113515889125
1029051.0578471104,2021-05-05,0.011513625017000928
1038609.9124432065,2021-05-06,0.009288999338958215
1048888.8955341375,2021-05-07,0.009896865962650825
1053938.6331024054,2021-05-10,0.004814368413821768
1039144.8047083623,2021-05-11,-0.014036707574230811
1021186.8428082615,2021-05-12,-0.017281481674866983
1036794.2725648687,2021-05-13,0.015283618141501698
1048216.6211098859,2021-05-14,0.011016986539441387
1052604.0947322233,2021-05-17,0.004185655458975424
1041825.4450801846,2021-05-18,-0.01023998453547792
1033840.5644585645,2021-05-19,-0.007664317145762878
1034697.8811127698,2021-05-20,0.000829254223212228
1040768.4294517171,2021-05-21,0.005866976679626212
1045661.5745111195,2021-05-24,0.004701473373841747
1039684.3770013539,2021-05-25,-0.005716187393191907
1040081.4552865712,2021-05-26,0.0003819219505467597
1049475.5443292349,2021-05-27,0.00903207051228061
1049820.3098245352,2021-05-28,0.00032851217654683573
1057357.0059037893,2021-06-01,0.007179034363046233
1060153.1204591482,2021-06-02,0.002644437535994637
1064851.7933488577,2021-06-03,0.004432070046329173
1072328.2218385427,2021-06-04,0.007021097711797486
1061425.007292339,2021-06-07,-0.010167795945451918
1059207.146330425,2021-06-08,-0.0020895126331833547
1050644.634058544,2021-06-09,-0.008083888313580201
1039137.3631540028,2021-06-10,-0.010952581426214136
1036284.224176952,2021-06-11,-0.002745680290419883
1027680.9137101857,2021-06-14,-0.008302076077245424
1024963.6585565297,2021-06-15,-0.00264406501804737
1012441.5188775746,2021-06-16,-0.012217154798044416
995076.5288835255,2021-06-17,-0.017151598062968065
976631.4385743825,2021-06-18,-0.01853635351025562
996051.8482309071,2021-06-21,0.0198850957377259
996200.7856240956,2021-06-22,0.00014952775144494446
992224.4528489796,2021-06-23,-0.003991497329150273
1005057.6951242177,2021-06-24,0.012933809722578182
1006193.1314073292,2021-06-25,0.001129722491176155
1007898.4453035084,2021-06-28,0.0016948176676518933
1007165.7730699269,2021-06-29,-0.0007269306119039864
1021428.8735490529,2021-06-30,0.014161621513061107
1015966.573320934,2021-07-01,-0.005347704935283026
1015272.8542060315,2021-07-02,-0.0006828168692940562
