account_value,date,daily_return
973354.7880857441,2021-10-04,
985973.62077477,2021-10-05,0.012964268366977283
988223.4184057973,2021-10-06,0.002281803066150445
996461.0670182126,2021-10-07,0.008335816030047516
998397.9782594388,2021-10-08,0.0019437901844194805
990933.83158542,2021-10-11,-0.007476123586539596
982879.5163998731,2021-10-12,-0.008128005048188336
983509.893215669,2021-10-13,0.0006413571605448087
1000795.1621708997,2021-10-14,0.01757508396658336
1015028.8544240125,2021-10-15,0.014222383152050266
1015941.0745511182,2021-10-18,0.000898713492852643
1025144.8104710706,2021-10-19,0.009059320614651645
1029166.8271222241,2021-10-20,0.003923364396982487
1022810.3877873548,2021-10-21,-0.0061762963664923065
1028258.009117616,2021-10-22,0.005326130234212911
1027366.5638585218,2021-10-25,-0.000866947061136214
1033115.9784894116,2021-10-26,0.005596264111707772
1023874.9438786634,2021-10-27,-0.008944818203528548
1033595.6394581922,2021-10-28,0.009494026235962627
1028081.7169537671,2021-10-29,-0.005334699851593294
1028209.0925030835,2021-11-01,0.00012389632771014902
1037465.7126698621,2021-11-02,0.009002663207581696
1040993.1766629346,2021-11-03,0.003400077660393075
1031731.700562013,2021-11-04,-0.008896769266644733
1033302.8612713941,2021-11-05,0.0015228384555066032
1033198.2207760938,2021-11-08,-0.00010126798175269514
1031063.5901074536,2021-11-09,-0.002066041758218229
1023436.3642811902,2021-11-10,-0.007397434939457548
1022259.0470433362,2021-11-11,-0.0011503570509544536
1029237.9612507947,2021-11-12,0.006826952745141668
1024684.0087208875,2021-11-15,-0.004424586637256311
1023442.689976228,2021-11-16,-0.0012114161381409083
1022170.5676083692,2021-11-17,-0.0012429834912284221
1027916.2043652661,2021-11-18,0.005621015649413863
1028401.1393742688,2021-11-19,0.0004717651175683013
1030539.6872983106,2021-11-22,0.002079488092888493
1042015.8355565198,2021-11-23,0.011136056572741415
1039274.1609540113,2021-11-24,-0.002631125659471656
1015644.4999852307,2021-11-26,-0.022736696298779724
1027614.7079320081,2021-11-29,0.011785824613781193
1023686.7272038587,2021-11-30,-0.0038224255626451153
1023822.0778584607,2021-12-01,0.0001322188234009758
1028862.70343448,2021-12-02,0.004923341354938104
1028059.1168065198,2021-12-03,-0.0007810435982155139
1049679.799149049,2021-12-06,0.021030582764238304
1071466.719650758,2021-12-07,0.02075577763749581
1082200.3744282848,2021-12-08,0.010017721111324374
1083714.99343921,2021-12-09,0.0013995735417533517
1091478.9904751903,2021-12-10,0.0071642425203890525
1082683.7414136059,2021-12-13,-0.008058102023343006
1086866.886032594,2021-12-14,0.0038636810168835023
1104685.2417874462,2021-12-15,0.016394239242944364
1100298.5311818249,2021-12-16,-0.003971004988283733
1083168.7804303295,2021-12-17,-0.015568275577989121
1071060.3151478893,2021-12-20,-0.011178742871106095
1084903.9626584179,2021-12-21,0.012925180136673209
1094684.6832432873,2021-12-22,0.009015286994530802
1099738.0813756115,2021-12-23,0.004616304776780211
1113586.7724156505,2021-12-27,0.012592717552088795
1114234.2024197704,2021-12-28,0.0005813916078720727
1117087.5568623669,2021-12-29,0.002560821088061882
1114487.1146245128,2021-12-30,-0.0023278768274511696
1108947.3969502575,2021-12-31,-0.004970643089150295
