date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-10-04,-99,-84,-100,-100,0,0,100,0,-100,100,0,0,0,0,100,0,0,2,100,-2,100,0,100,0,0,-100,0,0,0
2021-10-05,-99,-99,-100,-100,0,0,100,0,-100,100,0,0,0,0,0,100,0,43,1,0,100,0,100,0,0,-100,0,100,0
2021-10-06,-99,0,-100,-100,0,0,1,0,-100,100,0,0,0,0,0,100,0,0,65,0,100,0,0,0,0,-100,0,100,0
2021-10-07,0,0,-65,-100,0,0,100,0,-95,100,100,0,3,2,-11,-100,0,0,0,0,0,0,100,0,0,-100,0,100,0
2021-10-08,-99,-100,0,-100,0,0,0,0,0,100,92,0,0,-2,0,0,0,0,1,0,0,0,100,0,0,-100,0,1,0
2021-10-11,-16,-100,0,-100,0,0,-99,0,0,0,100,0,0,0,-81,0,0,0,41,0,100,0,100,0,0,-100,0,100,1
2021-10-12,-100,-83,0,-100,0,0,0,0,0,100,100,0,0,0,-8,-99,0,81,0,0,0,0,0,0,0,-100,0,100,0
2021-10-13,0,-99,0,-100,0,0,-27,0,0,100,100,0,-3,0,0,0,0,-99,100,0,0,0,0,0,0,-73,0,12,0
2021-10-14,0,-100,0,-53,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,1,-1
2021-10-15,-62,-100,0,0,0,0,-99,0,0,51,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,0,0,3,0
2021-10-18,-99,-99,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,81,0,-99,0,100,0,0,0,0,2,0
2021-10-19,-33,-100,100,0,0,0,-32,0,0,63,0,0,0,0,0,0,0,0,0,0,-96,0,100,0,0,0,0,1,0
2021-10-20,0,-99,0,0,0,0,-44,0,0,90,0,0,0,0,0,0,0,0,0,0,-100,0,100,0,0,0,0,100,0
2021-10-21,0,-93,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,-99,0,-99,0,76,0,0,0,0,0,0
2021-10-22,0,-99,1,0,0,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0
2021-10-25,0,-58,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,-80,0,0,0,1,0,0,0,0,0,0
2021-10-26,0,0,0,0,0,0,1,0,0,34,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0
2021-10-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-28,0,0,-99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0
2021-10-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-96,0,0,0,0,0,0,0,0,4,0
2021-11-03,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,4,0
2021-11-04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-16,0,0,0,0,0,0,0,0,0,0
2021-11-05,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-11-08,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
2021-11-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-11,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-11-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-22,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-30,100,0,0,0,0,0,0,0,87,0,-75,0,0,0,0,-99,0,0,0,0,0,0,100,0,0,0,0,1,0
2021-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-03,72,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
