account_rewards,date
32639.871083068778,2022-01-03
31701.539554443443,2022-01-04
-13593.075004577637,2022-01-05
-333.41871693427674,2022-01-06
23427.555680160644,2022-01-07
-10483.739509201143,2022-01-10
10727.5177781221,2022-01-11
-8326.344482421875,2022-01-12
-38867.19854278583,2022-01-13
-4941.689787292387,2022-01-14
-7226.681221771287,2022-01-18
-33783.26667327876,2022-01-19
-7046.212333374075,2022-01-20
-24473.79355316155,2022-01-21
61511.39572174079,2022-01-24
-990.3605363618117,2022-01-25
0.0,2022-01-26
0.0,2022-01-27
0.0,2022-01-28
0.0,2022-01-31
31.330992416478693,2022-02-01
194.15499801631086,2022-02-02
-14.163594756973907,2022-02-03
-1.6641900329850614,2022-02-04
0.0,2022-02-07
0.0,2022-02-08
0.0,2022-02-09
0.0,2022-02-10
0.0,2022-02-11
0.0,2022-02-14
0.0,2022-02-15
0.0,2022-02-16
-38.03674218757078,2022-02-17
8.190282257273793,2022-02-18
-44.23184851091355,2022-02-22
-876.9668576964177,2022-02-23
-11.369610077003017,2022-02-24
0.0,2022-02-25
0.0,2022-02-28
0.0,2022-03-01
0.0,2022-03-02
-136.1307718504686,2022-03-03
-136.81965490733273,2022-03-04
-3.5727301025763154,2022-03-07
0.0,2022-03-08
0.0,2022-03-09
0.0,2022-03-10
0.0,2022-03-11
0.0,2022-03-14
0.0,2022-03-15
0.0,2022-03-16
0.0,2022-03-17
0.0,2022-03-18
0.0,2022-03-21
0.0,2022-03-22
0.0,2022-03-23
361.3393051146995,2022-03-24
-94.78192520141602,2022-03-25
347.1120727388188,2022-03-28
-64.35311737074517,2022-03-29
-124.15366966254078,2022-03-30
-12.319449920440093,2022-03-31
